"filename", "language", "Markdown", "Shell Script", "XML", "Java", "comment", "blank", "total"
"/home/robert/Java-Catan/CLEANUP_COMPLETE.md", "Markdown", 68, 0, 0, 0, 0, 14, 82
"/home/robert/Java-Catan/COMPLETE_OVERHAUL_SUMMARY.md", "Markdown", 98, 0, 0, 0, 0, 22, 120
"/home/robert/Java-Catan/Doku.md", "Markdown", 202, 0, 0, 0, 0, 48, 250
"/home/robert/Java-Catan/README.md", "Markdown", 278, 0, 0, 0, 0, 69, 347
"/home/robert/Java-Catan/pom.xml", "XML", 0, 0, 71, 0, 5, 9, 85
"/home/robert/Java-Catan/src/main/java/com/catan/CatanApplication.java", "Java", 0, 0, 0, 25, 4, 8, 37
"/home/robert/Java-Catan/src/main/java/com/catan/controller/AuthenticBoardController.java", "Java", 0, 0, 0, 219, 54, 47, 320
"/home/robert/Java-Catan/src/main/java/com/catan/controller/MainController.java", "Java", 0, 0, 0, 0, 0, 1, 1
"/home/robert/Java-Catan/src/main/java/com/catan/demo/AuthenticBoardDemo.java", "Java", 0, 0, 0, 58, 8, 18, 84
"/home/robert/Java-Catan/src/main/java/com/catan/demo/DeduplicationTest.java", "Java", 0, 0, 0, 69, 5, 25, 99
"/home/robert/Java-Catan/src/main/java/com/catan/model/AuthenticCatanBoard.class", "Java", 0, 0, 0, 108, 0, 0, 108
"/home/robert/Java-Catan/src/main/java/com/catan/model/AuthenticCatanBoard.java", "Java", 0, 0, 0, 250, 83, 71, 404
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building$Type.class", "Java", 0, 0, 0, 23, 0, 0, 23
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.class", "Java", 0, 0, 0, 17, 0, 0, 17
"/home/robert/Java-Catan/src/main/java/com/catan/model/Building.java", "Java", 0, 0, 0, 66, 4, 18, 88
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame$GamePhase.class", "Java", 0, 0, 0, 16, 0, 0, 16
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame.class", "Java", 0, 0, 0, 103, 0, 0, 103
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGame.java", "Java", 0, 0, 0, 293, 22, 60, 375
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGeometryCalculator.class", "Java", 0, 0, 0, 76, 0, 0, 76
"/home/robert/Java-Catan/src/main/java/com/catan/model/CatanGeometryCalculator.java", "Java", 0, 0, 0, 66, 28, 30, 124
"/home/robert/Java-Catan/src/main/java/com/catan/model/EdgeCoordinate$Point2D.class", "Java", 0, 0, 0, 6, 0, 0, 6
"/home/robert/Java-Catan/src/main/java/com/catan/model/EdgeCoordinate.class", "Java", 0, 0, 0, 35, 0, 0, 35
"/home/robert/Java-Catan/src/main/java/com/catan/model/EdgeCoordinate.java", "Java", 0, 0, 0, 88, 29, 24, 141
"/home/robert/Java-Catan/src/main/java/com/catan/model/GameBoard.class", "Java", 0, 0, 0, 92, 0, 0, 92
"/home/robert/Java-Catan/src/main/java/com/catan/model/GameBoard.java", "Java", 0, 0, 0, 260, 49, 58, 367
"/home/robert/Java-Catan/src/main/java/com/catan/model/GameConstants.class", "Java", 0, 0, 0, 69, 0, 0, 69
"/home/robert/Java-Catan/src/main/java/com/catan/model/GameConstants.java", "Java", 0, 0, 0, 53, 26, 14, 93
"/home/robert/Java-Catan/src/main/java/com/catan/model/HexCoordinate$Point2D.class", "Java", 0, 0, 0, 6, 0, 0, 6
"/home/robert/Java-Catan/src/main/java/com/catan/model/HexCoordinate.class", "Java", 0, 0, 0, 37, 0, 0, 37
"/home/robert/Java-Catan/src/main/java/com/catan/model/HexCoordinate.java", "Java", 0, 0, 0, 85, 26, 20, 131
"/home/robert/Java-Catan/src/main/java/com/catan/model/Player.class", "Java", 0, 0, 0, 30, 2, 0, 32
"/home/robert/Java-Catan/src/main/java/com/catan/model/Player.java", "Java", 0, 0, 0, 129, 6, 30, 165
"/home/robert/Java-Catan/src/main/java/com/catan/model/PlayerColor.class", "Java", 0, 0, 0, 17, 0, 0, 17
"/home/robert/Java-Catan/src/main/java/com/catan/model/PlayerColor.java", "Java", 0, 0, 0, 19, 3, 6, 28
"/home/robert/Java-Catan/src/main/java/com/catan/model/ResourceType.class", "Java", 0, 0, 0, 17, 0, 0, 17
"/home/robert/Java-Catan/src/main/java/com/catan/model/ResourceType.java", "Java", 0, 0, 0, 20, 4, 6, 30
"/home/robert/Java-Catan/src/main/java/com/catan/model/Road.class", "Java", 0, 0, 0, 23, 0, 0, 23
"/home/robert/Java-Catan/src/main/java/com/catan/model/Road.java", "Java", 0, 0, 0, 64, 6, 15, 85
"/home/robert/Java-Catan/src/main/java/com/catan/model/TerrainTile.class", "Java", 0, 0, 0, 18, 0, 0, 18
"/home/robert/Java-Catan/src/main/java/com/catan/model/TerrainTile.java", "Java", 0, 0, 0, 52, 4, 14, 70
"/home/robert/Java-Catan/src/main/java/com/catan/model/TerrainType.class", "Java", 0, 0, 0, 21, 0, 0, 21
"/home/robert/Java-Catan/src/main/java/com/catan/model/TerrainType.java", "Java", 0, 0, 0, 29, 4, 8, 41
"/home/robert/Java-Catan/src/main/java/com/catan/model/VertexCoordinate.class", "Java", 0, 0, 0, 49, 0, 0, 49
"/home/robert/Java-Catan/src/main/java/com/catan/model/VertexCoordinate.java", "Java", 0, 0, 0, 106, 22, 23, 151
"/home/robert/Java-Catan/src/main/java/com/catan/view/UIComponents.java", "Java", 0, 0, 0, 266, 82, 62, 410
"/home/robert/Java-Catan/src/main/resources/main-view.fxml", "XML", 0, 0, 97, 0, 0, 3, 100
"/home/robert/Java-Catan/src/test/java/com/catan/model/CatanGameTest.java", "Java", 0, 0, 0, 98, 19, 29, 146
"/home/robert/Java-Catan/src/test/java/com/catan/model/EdgeCoordinateTest.java", "Java", 0, 0, 0, 62, 8, 16, 86
"/home/robert/Java-Catan/src/test/java/com/catan/model/PlayerTest.java", "Java", 0, 0, 0, 100, 19, 32, 151
"/home/robert/Java-Catan/src/test/java/com/catan/model/VertexCoordinateTest.java", "Java", 0, 0, 0, 63, 9, 17, 89
"/home/robert/Java-Catan/start-catan.sh", "Shell Script", 0, 19, 0, 0, 8, 7, 34
"/home/robert/Java-Catan/target/classes/com/catan/CatanApplication.class", "Java", 0, 0, 0, 21, 0, 0, 21
"/home/robert/Java-Catan/target/classes/com/catan/controller/AuthenticBoardController$1.class", "Java", 0, 0, 0, 14, 0, 0, 14
"/home/robert/Java-Catan/target/classes/com/catan/controller/AuthenticBoardController.class", "Java", 0, 0, 0, 185, 0, 2, 187
"/home/robert/Java-Catan/target/classes/com/catan/demo/AuthenticBoardDemo.class", "Java", 0, 0, 0, 33, 0, 0, 33
"/home/robert/Java-Catan/target/classes/com/catan/demo/DeduplicationTest.class", "Java", 0, 0, 0, 31, 0, 0, 31
"/home/robert/Java-Catan/target/classes/com/catan/model/AuthenticCatanBoard.class", "Java", 0, 0, 0, 117, 0, 0, 117
"/home/robert/Java-Catan/target/classes/com/catan/model/Building$Type.class", "Java", 0, 0, 0, 24, 0, 0, 24
"/home/robert/Java-Catan/target/classes/com/catan/model/Building.class", "Java", 0, 0, 0, 17, 0, 0, 17
"/home/robert/Java-Catan/target/classes/com/catan/model/CatanGame$GamePhase.class", "Java", 0, 0, 0, 17, 0, 0, 17
"/home/robert/Java-Catan/target/classes/com/catan/model/CatanGame.class", "Java", 0, 0, 0, 107, 0, 0, 107
"/home/robert/Java-Catan/target/classes/com/catan/model/CatanGeometryCalculator.class", "Java", 0, 0, 0, 76, 0, 0, 76
"/home/robert/Java-Catan/target/classes/com/catan/model/EdgeCoordinate$Point2D.class", "Java", 0, 0, 0, 6, 0, 0, 6
"/home/robert/Java-Catan/target/classes/com/catan/model/EdgeCoordinate.class", "Java", 0, 0, 0, 45, 0, 0, 45
"/home/robert/Java-Catan/target/classes/com/catan/model/GameBoard.class", "Java", 0, 0, 0, 92, 0, 0, 92
"/home/robert/Java-Catan/target/classes/com/catan/model/GameConstants.class", "Java", 0, 0, 0, 69, 0, 0, 69
"/home/robert/Java-Catan/target/classes/com/catan/model/HexCoordinate$Point2D.class", "Java", 0, 0, 0, 6, 0, 0, 6
"/home/robert/Java-Catan/target/classes/com/catan/model/HexCoordinate.class", "Java", 0, 0, 0, 38, 0, 0, 38
"/home/robert/Java-Catan/target/classes/com/catan/model/Player.class", "Java", 0, 0, 0, 30, 2, 0, 32
"/home/robert/Java-Catan/target/classes/com/catan/model/PlayerColor.class", "Java", 0, 0, 0, 18, 0, 0, 18
"/home/robert/Java-Catan/target/classes/com/catan/model/ResourceType.class", "Java", 0, 0, 0, 18, 0, 0, 18
"/home/robert/Java-Catan/target/classes/com/catan/model/Road.class", "Java", 0, 0, 0, 24, 0, 0, 24
"/home/robert/Java-Catan/target/classes/com/catan/model/TerrainTile.class", "Java", 0, 0, 0, 18, 0, 0, 18
"/home/robert/Java-Catan/target/classes/com/catan/model/TerrainType.class", "Java", 0, 0, 0, 23, 0, 0, 23
"/home/robert/Java-Catan/target/classes/com/catan/model/VertexCoordinate.class", "Java", 0, 0, 0, 53, 0, 0, 53
"/home/robert/Java-Catan/target/classes/com/catan/view/UIComponents$1.class", "Java", 0, 0, 0, 13, 0, 0, 13
"/home/robert/Java-Catan/target/classes/com/catan/view/UIComponents.class", "Java", 0, 0, 0, 129, 0, 0, 129
"/home/robert/Java-Catan/target/classes/main-view.fxml", "XML", 0, 0, 97, 0, 0, 3, 100
"/home/robert/Java-Catan/target/surefire-reports/TEST-com.catan.model.CatanGameTest.xml", "XML", 0, 0, 158, 0, 0, 0, 158
"/home/robert/Java-Catan/target/surefire-reports/TEST-com.catan.model.EdgeCoordinateTest.xml", "XML", 0, 0, 62, 0, 0, 0, 62
"/home/robert/Java-Catan/target/surefire-reports/TEST-com.catan.model.PlayerTest.xml", "XML", 0, 0, 62, 0, 0, 0, 62
"/home/robert/Java-Catan/target/surefire-reports/TEST-com.catan.model.VertexCoordinateTest.xml", "XML", 0, 0, 62, 0, 0, 0, 62
"/home/robert/Java-Catan/target/test-classes/com/catan/model/CatanGameTest.class", "Java", 0, 0, 0, 53, 0, 0, 53
"/home/robert/Java-Catan/target/test-classes/com/catan/model/EdgeCoordinateTest.class", "Java", 0, 0, 0, 40, 0, 0, 40
"/home/robert/Java-Catan/target/test-classes/com/catan/model/PlayerTest.class", "Java", 0, 0, 0, 39, 0, 0, 39
"/home/robert/Java-Catan/target/test-classes/com/catan/model/VertexCoordinateTest.class", "Java", 0, 0, 0, 41, 0, 0, 41
"Total", "-", 646, 19, 609, 4700, 541, 829, 7344